id_respon,timestamp,layanan,komentar_teks,id_pengisian,urut_komentar,label_manual
005-03,08/01/2026 22:36:10,WiFi Kampus,"wifi di fikti terkadang lola, pliss adain kayak dulu lagi aja, di mana tiap lantai jaringannya bedaaa, tidak seperti sekarang uda mencakup semua",5,3,negatif
005-04,08/01/2026 22:36:10,Helpdesk/Technical Support,-,5,4,netral
005-05,08/01/2026 22:36:10,Saran Peningkatan,semoga kedepannya bisa lebih baik hehe,5,5,positif
006-01,08/01/2026 22:36:40,Portal Akademik (WEB),"Khusus portal web, sering log out sendiri.",6,1,negatif
006-02,08/01/2026 22:36:40,MyClass UMSU,"Khusus MyClass, lumayan lah dibandingkan UMSU Mobile dulu. Sekarang mah sudah mudah diakses, seneng banget deh rasanya punya e learning kampus sendiri. Kampus lain emang punya? Cih masih pakai GClassroom😂.",6,2,positif
006-03,08/01/2026 22:36:40,WiFi Kampus,"WiFi UMSU itu ibarat tauco dalam nasi gurih, dia ada, tapi tidak akan pernah saya sentuh. Untuk apa juga? 1 WiFi yang pakai seribu orang.",6,3,positif
006-04,08/01/2026 22:36:40,Helpdesk/Technical Support,"Baik lah pokoknya, soalnya saya datengin langsung.",6,4,positif
006-05,08/01/2026 22:36:40,Saran Peningkatan,"Saran saya yah, terus berkembang deh.",6,5,positif
007-01,08/01/2026 22:38:59,Portal Akademik (WEB),sering log out dengan sendirinya,7,1,negatif
007-02,08/01/2026 22:38:59,MyClass UMSU,tidak ada,7,2,netral
007-03,08/01/2026 22:38:59,WiFi Kampus,sering ganti password,7,3,negatif
007-04,08/01/2026 22:38:59,Helpdesk/Technical Support,tidak ada,7,4,netral
007-05,08/01/2026 22:38:59,Saran Peningkatan,tidak ada,7,5,netral
008-01,08/01/2026 22:39:57,Portal Akademik (WEB),"untuk kebutuhan sebenarnya portal akademik (web) umsu tu sudah mencukupi dan lumayan mudahlah untuk dipahami. tetapii, web tersebut sering kali back ke halaman dashboard yang biasanya muncul sebelum login. mungkin itu si salah satu kekurangan dari portal tersebut",8,1,positif
008-02,08/01/2026 22:39:57,MyClass UMSU,"secara keseluruhan sih MyClass itu sudah cukup baik, tetapi alangkah lebih baikk jika dilakukan pengembangan sistem lagi. karena, untuk user MyClass yang pakai android tu kurang responsif. setiap kali kita ingin kembali ke halaman sebelumnya, yang malah muncul adalah halaman dashboard yang isinya menu utama, berita umsu. jadii, itu lumayan membuat user sedikit kesal karena jika ingin kembali ke halaman sebelumnya harus mulai dari awal LGIII",8,2,positif
008-03,08/01/2026 22:39:57,WiFi Kampus,"saya lumayan puas dengan fasilitas WiFi yang di fikti dan hal ini sudah cukup memenuhi kebutuhan mahasiswa. tetapi, untuk di fakultas lain fasilitas wifi masih di batasi bahkaan emang betu-betul wifi itu tidak sampai lantai atas.",8,3,positif
008-04,08/01/2026 22:39:57,Helpdesk/Technical Support,"saya sudah lama tida menggunakan helpdesk IT UMSU. tetapi dulu pernah, dikarenakan akun e-learning saya tidak bisa login, daan mereka langsung membantu 🫰🫰🫰",8,4,netral
008-05,08/01/2026 22:39:57,Saran Peningkatan,none~,8,5,netral
009-01,08/01/2026 22:44:23,Portal Akademik (WEB),"Ketika sudah login ke web portal umsu suka tbtb log out sendiri, juga sering nya mengalami server down sehingga website tidak bisa di buka dan belum bisa download riwayat transaksi sebelumnya melalui aplikasi umsu mobile. Tapi sejauh ini portal umsu menyajikan informasi yang sangat penting dan mudah di akses, desain website juga user friendly.",9,1,negatif
009-02,08/01/2026 22:44:23,MyClass UMSU,"Untuk mengakses my class lewat apk umsu mobile ketika ingin kembali untuk berpindah menu, seringnya kembali ke apk umsu mobile bukan tetap di menu my class. Tetapi Sejauh ini pengguna my class sangat memudahkan ketika ingin mengakses absen dan materi perkuliahan.",9,2,
009-03,08/01/2026 22:44:23,WiFi Kampus,"Sering nya menjumpai wifi kampus yang menggunakan kata sandi seperti di beberapa aula dan gedung fakultas. Sedangkan tidak semua mahasiswa memiliki paket data oleh karena itu mungkin ke depannya bisa di permudah lagi dalam mengakses wifi di area tertentu. Tetapi saya sangat suka dengan fasilitas wifi yg di sediakan oleh pihak kampus karena sangat membantu di keadaan genting, apalagi jaringannya lancar jaya. Terimakasih umsu🫰",9,3,
009-04,08/01/2026 22:44:23,Helpdesk/Technical Support,Kemarin lupa kata sandi portal umsu jd saya lgsg menggunakan helpdesk dan responnya sangat cepat dan mudah di pahami,9,4,
009-05,08/01/2026 22:44:23,Saran Peningkatan,Tidak ada,9,5,
010-01,08/01/2026 22:45:44,Portal Akademik (WEB),portal mudah di gunakan,10,1,
010-02,08/01/2026 22:45:44,MyClass UMSU,MyClass UMSU sangat mudah digunakan,10,2,
010-03,08/01/2026 22:45:44,WiFi Kampus,WIFI kampus kadang lemot,10,3,
010-04,08/01/2026 22:45:44,Helpdesk/Technical Support,-,10,4,
010-05,08/01/2026 22:45:44,Saran Peningkatan,-,10,5,
011-01,08/01/2026 22:47:34,Portal Akademik (WEB),"Pengalaman saya menggunakan Portal Akademik (WEB) cukup baik karena memudahkan akses KRS, KHS, dan jadwal kuliah. Namun, portal sering lambat saat banyak pengguna, sehingga kurang nyaman digunakan.",11,1,
011-02,08/01/2026 22:47:34,MyClass UMSU,"Pengalaman saya menggunakan MyClass UMSU cukup baik, karena memudahkan akses materi perkuliahan, tugas, dan informasi dari dosen secara online. Namun, terkadang sistem lambat atau error, terutama saat banyak pengguna mengakses secara bersamaan, sehingga menghambat proses belajar.",11,2,positif
011-03,08/01/2026 22:47:34,WiFi Kampus,"Pengalaman saya menggunakan WiFi kampus UMSU cukup baik, karena memudahkan akses internet untuk mendukung kegiatan perkuliahan seperti mencari referensi, mengerjakan tugas, dan mengakses sistem akademik. Namun, terkadang koneksi lambat atau tidak stabil, terutama saat banyak pengguna, sehingga menghambat aktivitas belajar.",11,3,
011-04,08/01/2026 22:47:34,Helpdesk/Technical Support,"Pengalaman saya menggunakan helpdesk/technical support IT UMSU cukup baik, karena petugas responsif dan membantu dalam menangani kendala teknis seperti masalah akun atau sistem. Namun, terkadang respon memerlukan waktu cukup lama saat permintaan sedang banyak, sehingga penyelesaian masalah menjadi tertunda.",11,4,
011-05,08/01/2026 22:47:34,Saran Peningkatan,"UMSU diharapkan dapat meningkatkan kestabilan sistem, kecepatan WiFi, serta respons helpdesk IT, agar layanan SI & TI lebih optimal dan nyaman digunakan.",11,5,
012-01,08/01/2026 22:49:57,Portal Akademik (WEB),"Pengalaman saya menggunakan Portal Akademik (WEB) adalah buruk. Alasannya adalah
 Portal Akademik memiliki desain yang tidak intuitif dan sulit dinavigasi. Saya harus mencari-cari informasi dan fitur yang saya butuhkan.

Namun, ada beberapa hal yang baik tentang Portal Akademik, seperti Akses informasi yang mudah  Portal Akademik menyediakan akses informasi yang mudah tentang nilai, jadwal kuliah, dan informasi lainnya.",12,1,
012-02,08/01/2026 22:49:57,MyClass UMSU,"Pengalaman saya menggunakan Portal Akademik (WEB) adalah buruk. Alasannya adalah:
Desain yang tidak user-friendly Portal Akademik memiliki desain yang tidak intuitif dan sulit dinavigasi. Saya harus mencari-cari informasi dan fitur yang saya butuhkan.


Namun, ada  hal yang baik tentang Portal Akademik, seperti:
Akses informasi yang mudah  Portal Akademik menyediakan akses informasi yang mudah tentang nilai, jadwal kuliah, dan informasi lainnya.",12,2,
012-03,08/01/2026 22:49:57,WiFi Kampus,"Pengalaman saya menggunakan Portal Akademik (WEB) adalah buruk. Alasannya adalah Desain yang tidak user-friendlyPortal Akademik memiliki desain yang tidak intuitif dan sulit dinavigasi. Saya harus mencari-cari informasi dan fitur yang saya butuhkan.

Namun, ada beberapa hal yang baik tentang Portal Akademik, seperti Akses informasi yang mudah : Portal Akademik menyediakan akses informasi yang mudah tentang nilai, jadwal kuliah, dan informasi lainnya.",12,3,
012-04,08/01/2026 22:49:57,Helpdesk/Technical Support,"Saya belum pernah menggunakann helpdesk atau support it umsu, krn belum ada kendala🙏",12,4,
012-05,08/01/2026 22:49:57,Saran Peningkatan,"Perbarui desain portal akademik untuk membuat nya user friendly dan intuitif, sehingga lebih mudah dipahami oleh pengguna",12,5,
013-01,08/01/2026 22:51:27,Portal Akademik (WEB),Portal akademik(web) sgt berguna ketika aplikasi umsu academy error,13,1,positif
013-02,08/01/2026 22:51:27,MyClass UMSU,"MyClass susah login, sering muncul ""password salah""",13,2,
013-03,08/01/2026 22:51:27,WiFi Kampus,Wifinya nge-lag,13,3,
013-04,08/01/2026 22:51:27,Helpdesk/Technical Support,tidak ada masalah,13,4,
013-05,08/01/2026 22:51:27,Saran Peningkatan,sudah keren,13,5,
014-01,08/01/2026 22:51:46,Portal Akademik (WEB),"Baiknya mudah fahami dan digunakan
Buruknya Agak kesal karena kalo login tiba-tiba error disuruh login lagi",14,1,
014-02,08/01/2026 22:51:46,MyClass UMSU,Karena masih baru jadi agak bingung pakainya mungkin..,14,2,
014-03,08/01/2026 22:51:46,WiFi Kampus,Pernah agak lambat,14,3,
014-04,08/01/2026 22:51:46,Helpdesk/Technical Support,Tidak ada,14,4,
014-05,08/01/2026 22:51:46,Saran Peningkatan,Saran saya lebih diperhatikan lagi layanannya,14,5,
015-01,08/01/2026 22:54:07,Portal Akademik (WEB),Informasi pada web lengkap dan mudah dipahami,15,1,
015-02,08/01/2026 22:54:07,MyClass UMSU,"Saat sedang ramai susah diakses, tampilan agak sulit dipahami, masih sering kebingungan mencari icon/button",15,2,
015-03,08/01/2026 22:54:07,WiFi Kampus,Wifi tidak lemot dan cepat connect ke device,15,3,
015-04,08/01/2026 22:54:07,Helpdesk/Technical Support,Menurut teman-teman saya cepat ditanggapi (karena saya tidak pernah menggunakannya),15,4,
015-05,08/01/2026 22:54:07,Saran Peningkatan,Semoga lebih baik lagi,15,5,
016-01,08/01/2026 22:54:58,Portal Akademik (WEB),"bagus sih cuma kadang pas di buka error"" terus harus di ulang"" sampe bisaa",16,1,
016-02,08/01/2026 22:54:58,MyClass UMSU,-,16,2,
016-03,08/01/2026 22:54:58,WiFi Kampus,"susah nyambung, dan di kasih password dan hampir tidak bisa di gunakan dan ngelag sekali",16,3,
016-04,08/01/2026 22:54:58,Helpdesk/Technical Support,-,16,4,
016-05,08/01/2026 22:54:58,Saran Peningkatan,-,16,5,
017-01,08/01/2026 22:55:10,Portal Akademik (WEB),"pengalaman saya pakai Portal Akademik (WEB) itu cukup ngebantu walaupun kadang ga selalu lancar. baik nya tuh di portal ini bisa lihat info kayak jadwal, krs, khs, data pembayaran ukt, dan infonya juga bisa diakses sama orang tua. tapi minusnya kadang webnya lemot dan susah dibuka pas jam ramai, apalagi waktu isi krs dan mau pembayaran ukt",17,1,
017-02,08/01/2026 22:55:10,MyClass UMSU,"pengalaman saya pakai MyClass UMSU itu cukup ngebantu buat lihat materi, tugas, absensi dan pengumuman dari dosen. tapi minusnya, sistemnya kadang pas hari libur ga bisa di akses padahal kadang justru di hari libur mau ngerjain tugas atau buka materi",17,2,
017-03,08/01/2026 22:55:10,WiFi Kampus,"sepengalaman saya, menurut saya WiFi kampus UMSU itu belum merata. Kalau di fikti sih biasanya oke dan bisa dipakai dgn lancar. tapi kalau lagi kelas di fai, sering ga ada jaringan, bahkan kadang untuk muka myclass buat absen aja loadingnya lama. apalagi di perpustakaan, wifi nya sering lemot jadi susah untuk mengerjakan tugas di perpustakaan",17,3,
017-04,08/01/2026 22:55:10,Helpdesk/Technical Support,-,17,4,
017-05,08/01/2026 22:55:10,Saran Peningkatan,"saya belum pernah secara langsung menggunakan layanan SI & TI, tapi menurut saya layanan tersebut sebaiknya bisa melayani mahasiswa dengan cepat, responsif, dan memberikan solusi yang tepat kalau ada kendala.",17,5,
018-01,08/01/2026 22:58:26,Portal Akademik (WEB),Tidak ada,18,1,
018-02,08/01/2026 22:58:26,MyClass UMSU,Lebih suka menggunakan elearning dari pada myclass,18,2,
018-03,08/01/2026 22:58:26,WiFi Kampus,Sering lola wifi nya jika digunakan,18,3,
018-04,08/01/2026 22:58:26,Helpdesk/Technical Support,Tidak ada,18,4,
018-05,08/01/2026 22:58:26,Saran Peningkatan,Tidak ada,18,5,
019-01,08/01/2026 23:04:18,Portal Akademik (WEB),"baik, tidak ada alasan",19,1,
019-02,08/01/2026 23:04:18,MyClass UMSU,Baik,19,2,
019-03,08/01/2026 23:04:18,WiFi Kampus,Baik,19,3,
019-04,08/01/2026 23:04:18,Helpdesk/Technical Support,Baik,19,4,
019-05,08/01/2026 23:04:18,Saran Peningkatan,tidak ada,19,5,
020-01,08/01/2026 23:05:35,Portal Akademik (WEB),bagus aja,20,1,
020-02,08/01/2026 23:05:35,MyClass UMSU,bagus aja,20,2,
020-03,08/01/2026 23:05:35,WiFi Kampus,lemottt wifi nya,20,3,
020-04,08/01/2026 23:05:35,Helpdesk/Technical Support,-,20,4,
020-05,08/01/2026 23:05:35,Saran Peningkatan,"gada si, wifi aja bagusin",20,5,
021-01,08/01/2026 23:06:55,Portal Akademik (WEB),"pengalaman baik saat webnya lancar, pengalaman buruk saat webnya down dimasa masa mahasiswa banyak akses ke webnya",21,1,
021-02,08/01/2026 23:06:55,MyClass UMSU,saya belum pernah pakai,21,2,
021-03,08/01/2026 23:06:55,WiFi Kampus,"pengalaman buruk tidak terlalu buruk si normal aja, cuma saat mau isi kehadiran ntah kenapa kadang di momen itu wifi nya kurang lancar",21,3,
021-04,08/01/2026 23:06:55,Helpdesk/Technical Support,belum pernah pakai,21,4,
021-05,08/01/2026 23:06:55,Saran Peningkatan,belum pernah pakai,21,5,
022-01,08/01/2026 23:09:53,Portal Akademik (WEB),lama loading atau susah mau akses mungkin karna trafic,22,1,
022-02,08/01/2026 23:09:53,MyClass UMSU,karena baru masih meraba untuk memakai my class,22,2,
022-03,08/01/2026 23:09:53,WiFi Kampus,wifi tidak menyebar merata,22,3,
022-04,08/01/2026 23:09:53,Helpdesk/Technical Support,tidak ada,22,4,
022-05,08/01/2026 23:09:53,Saran Peningkatan,tidak ada,22,5,
023-01,08/01/2026 23:20:21,Portal Akademik (WEB),bagus,23,1,
023-02,08/01/2026 23:20:21,MyClass UMSU,okee,23,2,
023-03,08/01/2026 23:20:21,WiFi Kampus,"susah conect,lemot,ga stabil",23,3,
023-04,08/01/2026 23:20:21,Helpdesk/Technical Support,tidak pernah,23,4,
023-05,08/01/2026 23:20:21,Saran Peningkatan,wifi di perbanyak dan di percepat koneksi nya,23,5,
024-01,08/01/2026 23:21:18,Portal Akademik (WEB),"pas menggunakan portal saya pernah mengalami hal buruk, ketika kita klik salah satu fitur tiba"" eror",24,1,
024-02,08/01/2026 23:21:18,MyClass UMSU,myclass susah di aksess suka eror,24,2,
024-03,08/01/2026 23:21:18,WiFi Kampus,"wifinya menurut saya lancar"" saja walaupun terkadang pernah sedikit nge lag",24,3,
024-04,08/01/2026 23:21:18,Helpdesk/Technical Support,tidak ada cerita,24,4,
024-05,08/01/2026 23:21:18,Saran Peningkatan,tidak ada saran,24,5,
025-01,08/01/2026 23:24:43,Portal Akademik (WEB),"pernah beberapakali server down, yang membuat saya mengalami  kesulitan untuk mengakses sistem",25,1,
025-02,08/01/2026 23:24:43,MyClass UMSU,myclass kadang kadang susah diakses karna beberapa masalah,25,2,
025-03,08/01/2026 23:24:43,WiFi Kampus,wifi kampus memang bagus tapi terkadang susah juga buat connect,25,3,
025-04,08/01/2026 23:24:43,Helpdesk/Technical Support,tidak ada,25,4,
025-05,08/01/2026 23:24:43,Saran Peningkatan,semoga lebih baik dan lebih cepat responya,25,5,
026-01,08/01/2026 23:27:55,Portal Akademik (WEB),"Terdapat beberapa bug dan error pada sistem login, di mana pengguna sering terlogout secara tiba-tiba sehingga harus login ulang untuk mengakses halaman. Kondisi ini menimbulkan rasa kurang nyaman bagi pengguna dan hingga saat ini belum dilakukan perbaikan (fix) terhadap permasalahan tersebut. Sementara itu, dari segi fungsi, portal akademik sudah memenuhi kegunaannya dan menurut saya bahkan sudah lebih dari cukup. Pengembangan selanjutnya dapat difokuskan pada aspek tampilan (user interface) agar lebih menarik dan nyaman digunakan.",26,1,
026-02,08/01/2026 23:27:55,MyClass UMSU,"Saya tidak mengetahui apakah hal ini hanya saya yang merasakannya, namun menurut saya MyClass cukup sulit untuk dinavigasikan atau dipahami alurnya. Jika dibandingkan dengan tampilan lama, saya menilai tampilan sebelumnya lebih mudah dipahami oleh pengguna. Selain itu, terdapat beberapa error saat mengakses link pada waktu tertentu. Bahkan, saya sempat mengalami kendala pada akun saya, di mana akun tersebut tidak dapat digunakan untuk login sama sekali.
Meski demikian, saya tetap mengapresiasi tim Web UMSU yang kemungkinan besar melakukan perubahan ini sebagai upaya untuk terus berkembang dan mengikuti perkembangan zaman. Secara keseluruhan, MyClass sudah memenuhi kebutuhan mahasiswa dan dosen dalam mendukung kegiatan studi dan pembelajaran.",26,2,
026-03,08/01/2026 23:27:55,WiFi Kampus,"Untuk WiFi, menurut saya sudah cukup baik, meskipun sebagai fasilitas publik tentu ada beberapa kekurangan. Yang biasanya terjadi adalah loading yang lama dan akses yang kadang terputus.",26,3,
026-04,08/01/2026 23:27:55,Helpdesk/Technical Support,"Saya pernah menggunakan layanan support UMSU untuk meminta akun email kampus yang ingin saya gunakan untuk mengambil promo AI Gemini Pro gratis dari Google. Saya menilai layanan dan responnya cukup baik, karena saya diarahkan dan dilayani dengan baik.",26,4,
026-05,08/01/2026 23:27:55,Saran Peningkatan,"Layanan Sistem Informasi (SI) dan Teknologi Informasi (TI) di Universitas UMSU sudah berjalan dengan baik dan fungsinya sudah memenuhi kebutuhan mahasiswa, terutama dalam hal pembuatan akun email kampus dan akses layanan digital lainnya. Untuk saran, mungkin tampilan antarmuka layanan bisa diperbarui agar lebih modern dan sesuai dengan perkembangan zaman, sehingga pengalaman pengguna menjadi lebih nyaman dan menarik.",26,5,
027-01,08/01/2026 23:40:26,Portal Akademik (WEB),Baik,27,1,
027-02,08/01/2026 23:40:26,MyClass UMSU,Baik,27,2,
027-03,08/01/2026 23:40:26,WiFi Kampus,Baik,27,3,
027-04,08/01/2026 23:40:26,Helpdesk/Technical Support,Baik,27,4,
027-05,08/01/2026 23:40:26,Saran Peningkatan,Lebih ditingkatkan,27,5,
028-01,08/01/2026 23:41:16,Portal Akademik (WEB),"pernah loading lama saat mau akses, padahal sedang butuh cepat mengaksesnya.",28,1,
028-02,08/01/2026 23:41:16,MyClass UMSU,"pernah loading lama saat mau akses myclass, padahal sedang butuh cepat mengakses e-learning tersebut.",28,2,
028-03,08/01/2026 23:41:16,WiFi Kampus,"Sejauh ini baik, tidak ada kendala dalam mengakses dan menggunakannya.",28,3,
028-04,08/01/2026 23:41:16,Helpdesk/Technical Support,-,28,4,
028-05,08/01/2026 23:41:16,Saran Peningkatan,Lakukan perbaikan dalam keterbatasan kecepatan akses penggunaan myclass dan portal web.,28,5,
029-01,08/01/2026 23:49:05,Portal Akademik (WEB),"server sering down kalau sedang banyak yang akses, biasanya pagi hari saat banyak mahasiswa yang absensi.",29,1,
029-02,08/01/2026 23:49:05,MyClass UMSU,"saya suka dengan UI (user interface) dari MyClass terbaru, lebih clean dan informatif. UX (User Experience) nya juga mudah dipahami walaupun sedikit lebih kompleks dari MyClass sebelumnya",29,2,
029-03,08/01/2026 23:49:05,WiFi Kampus,"Saya suka dengan kecepatan WiFi di UMSU, sangat membantu mahasiswa dalam mengerjakan tugas di sekitaran kampus.",29,3,
029-04,08/01/2026 23:49:05,Helpdesk/Technical Support,"Respon admin cepat dan jelas, masalah cepat teratasi.",29,4,
029-05,08/01/2026 23:49:05,Saran Peningkatan,"Kapasitas akses user lebih diperbesar agar server tidak tiba-tiba down, terkhusus di pagi hari ketika trafic sedang ramai.",29,5,
030-01,08/01/2026 23:54:16,Portal Akademik (WEB),Mudah di akses,30,1,
030-02,08/01/2026 23:54:16,MyClass UMSU,Mudah di akses,30,2,
030-03,08/01/2026 23:54:16,WiFi Kampus,Jaringan nya bagus dan tidak lag,30,3,
030-04,08/01/2026 23:54:16,Helpdesk/Technical Support,"Pengalaman saya cukup baik, karena helpdesk IT UMSU merespons dan membantu menyelesaikan kendala dengan jelas, meskipun terkadang responnya lambat saat sedang ramai",30,4,
030-05,08/01/2026 23:54:16,Saran Peningkatan,Semoga lebih bagus kedepannya,30,5,
031-01,09/01/2026 0:03:06,Portal Akademik (WEB),Sejauh ini sangat aman dan mudah,31,1,
031-02,09/01/2026 0:03:06,MyClass UMSU,Saat ini saat baik digunakan,31,2,
031-03,09/01/2026 0:03:06,WiFi Kampus,Wifi umsu beberapa belakangan ini banyak mengeluh karna jaringan yang sangat tidak stabil,31,3,
031-04,09/01/2026 0:03:06,Helpdesk/Technical Support,Responnya sangat cepat dam baik,31,4,
031-05,09/01/2026 0:03:06,Saran Peningkatan,"Layanan untuk memberikan fasilitas papan peringatan ( harap tenang saat berada di lorong ) di bagian lorong gedung, karena suara mahasiswa dilorong atau di luar kelas sangat mengganggu untuk yang sedang belajar dan sedang berada di dalam kelas. Terimakasih",31,5,
032-01,09/01/2026 0:03:52,Portal Akademik (WEB),"pengalamannya kadang kalau dari web itu dia kaya harus login berkali kali kalau mau print krs, khs dan bayar ukt",32,1,
032-02,09/01/2026 0:03:52,MyClass UMSU,sejauh ini bagus sih lebih gampang di akses aja,32,2,
032-03,09/01/2026 0:03:52,WiFi Kampus,susah konekk kadang kadang plis,32,3,
032-04,09/01/2026 0:03:52,Helpdesk/Technical Support,nothing,32,4,
032-05,09/01/2026 0:03:52,Saran Peningkatan,"hmm, sarannya adalah semoga lebih tidak ngelag untuk wifi",32,5,
033-01,09/01/2026 0:34:15,Portal Akademik (WEB),"Pengalaman saya menggunakan Portal Akademik (WEB) ada yang baik dan ada juga yang kurang menyenangkan. Dari sisi positif, portal ini cukup membantu mahasiswa dalam mengakses informasi akademik seperti jadwal kuliah, KRS, KHS, dan pengumuman kampus tanpa harus datang langsung ke bagian akademik. Tampilan web juga relatif sederhana sehingga mudah dipahami, terutama untuk kebutuhan dasar mahasiswa.
Namun, pengalaman kurang baik yang saya rasakan adalah portal sering mengalami error atau lambat diakses. Hal ini cukup menghambat karena mahasiswa membutuhkan akses cepat, sementara waktu pengisian terbatas. Selain itu, terkadang data yang ditampilkan tidak langsung ter-update, sehingga menimbulkan kebingungan dan membuat mahasiswa harus mengecek berulang kali.

Secara keseluruhan, Portal Akademik sangat bermanfaat sebagai sistem informasi akademik, tetapi perlu peningkatan dari segi stabilitas sistem dan kecepatan akses agar dapat menunjang kegiatan akademik mahasiswa dengan lebih optimal.",33,1,
033-02,09/01/2026 0:34:15,MyClass UMSU,"Pengalaman saya menggunakan MyClass UMSU memiliki sisi positif dan negatif. Dari sisi positif, MyClass sangat membantu dalam proses perkuliahan karena memudahkan mahasiswa mengakses materi, menerima pengumuman, serta mengumpulkan tugas secara online dalam satu platform.
Namun, pengalaman kurang baik yang saya alami adalah pada penggunaan aplikasi di perangkat Android. Beberapa kali saya mengalami kendala saat mengunggah tugas karena fitur upload tidak berfungsi dengan baik, sehingga saya terpaksa menggunakan perangkat iOS agar tugas dapat dikirim. Hal ini cukup merepotkan, terutama bagi mahasiswa yang hanya memiliki perangkat Android. Selain itu, kendala teknis tersebut bisa menimbulkan kekhawatiran ketika batas waktu pengumpulan tugas sudah dekat.
Secara keseluruhan, MyClass UMSU sangat membantu dalam mendukung kegiatan akademik, tetapi perlu adanya perbaikan dan optimalisasi aplikasi, khususnya pada versi Android, agar semua mahasiswa dapat menggunakan platform ini secara adil dan lancar tanpa harus berganti perangkat.",33,2,
033-03,09/01/2026 0:34:15,WiFi Kampus,"Pengalaman saya menggunakan WiFi kampus UMSU memiliki sisi positif dan negatif. Dari sisi positif, keberadaan WiFi kampus sangat membantu mahasiswa dalam menunjang kegiatan perkuliahan, seperti mengakses MyClass, mencari referensi materi, dan mengerjakan tugas secara online di lingkungan kampus tanpa harus menggunakan kuota pribadi.
Namun, pengalaman kurang baik yang saya rasakan adalah koneksi WiFi kampus sering tidak stabil dan kecepatannya menurun pada jam-jam sibuk, terutama saat banyak mahasiswa terhubung secara bersamaan. Selain itu, di beberapa area kampus sinyal WiFi masih lemah atau sulit terhubung, sehingga aktivitas akademik menjadi terhambat. Kondisi ini cukup menyulitkan ketika mahasiswa membutuhkan akses internet yang cepat dan stabil.
Secara keseluruhan, WiFi kampus UMSU sangat bermanfaat, tetapi perlu adanya peningkatan dari segi kestabilan jaringan, kecepatan akses, dan pemerataan jangkauan agar dapat mendukung kegiatan akademik mahasiswa secara lebih optimal.",33,3,
033-04,09/01/2026 0:34:15,Helpdesk/Technical Support,"Saya belum pernah menggunakan layanan helpdesk atau technical support IT UMSU secara langsung, sehingga belum dapat memberikan pengalaman secara mendalam. Namun, berdasarkan informasi yang saya ketahui, layanan helpdesk IT UMSU disediakan untuk membantu mahasiswa ketika mengalami kendala teknis terkait sistem akademik dan teknologi informasi.
Ke depannya, saya berharap layanan helpdesk IT UMSU dapat diakses dengan mudah dan responsif apabila saya atau mahasiswa lain membutuhkan bantuan, sehingga permasalahan teknis dapat ditangani dengan cepat dan tidak mengganggu kegiatan akademik.",33,4,
